Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2024-05-10 13:06:01,FALSE,Berlin Running,5.44,619,00:52:04,134,169,2.9,166,188,9:34,7:44,78,66,1.01,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,77.0,No,00:03:56.0,6,91.4,00:51:27,01:24:37,122,152
Running,2024-05-09 11:02:22,FALSE,Berlin Running,4.26,470,00:39:11,134,159,2.9,166,186,9:12,7:51,66,47,1.05,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,71.6,No,00:02:13.7,5,84.2,00:38:35,00:53:31,69,99
Running,2024-05-08 11:18:33,FALSE,Berlin Running,7.10,842,01:01:09,150,164,3.7,171,190,8:37,7:23,34,31,1.09,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,68.0,No,00:00:52.9,8,86.0,01:00:59,01:01:54,115,131
Running,2024-05-07 10:37:12,FALSE,Berlin Running,7.30,874,01:04:31,149,164,3.5,172,186,8:50,7:44,60,74,1.06,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,62.6,No,00:02:41.7,8,86.0,01:04:07,01:31:02,96,135
Running,2024-05-06 18:11:50,FALSE,Berlin Running,4.35,501,00:35:39,147,179,3.4,173,210,8:12,5:41,12,7,1.14,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,71.6,No,00:02:53.6,5,86.0,00:35:23,00:37:51,59,72
Running,2024-05-05 18:52:27,FALSE,Berlin Running,4.60,522,00:42:05,135,153,2.9,168,188,9:09,7:56,61,67,1.05,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,71.6,No,00:05:22.9,5,89.6,00:41:52,00:48:39,102,140
Running,2024-05-03 16:59:43,FALSE,Berlin Running,7.15,839,01:03:16,149,176,3.5,169,179,8:51,7:33,66,53,1.08,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,77.0,No,00:01:23.1,8,87.8,01:02:52,01:14:41,110,147
Running,2024-05-02 18:38:35,FALSE,Berlin Running,4.00,456,00:35:15,149,181,3.4,167,199,8:48,6:13,40,34,1.09,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,80.6,No,00:00:01.4,5,86.0,00:34:53,00:45:12,114,144
Running,2024-04-29 18:51:21,FALSE,Berlin Running,4.64,524,00:38:08,148,162,3.3,170,187,8:13,7:27,22,16,1.15,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,75.2,No,00:05:03.3,5,86.0,00:37:34,00:53:59,116,127
Running,2024-04-26 17:20:34,FALSE,Berlin Running,7.22,839,01:00:42,149,163,3.7,172,231,8:24,7:11,29,17,1.12,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,66.2,No,00:01:55.8,8,80.6,01:00:35,01:02:19,112,127
Running,2024-04-25 18:00:22,FALSE,Berlin Running,4.38,509,00:38:03,146,170,3.0,170,187,8:41,7:20,60,57,1.09,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,60.8,No,00:03:01.2,5,77.0,00:37:48,01:02:40,99,133
Running,2024-04-23 18:55:36,FALSE,Berlin Running,4.14,487,00:36:51,147,172,2.9,171,196,8:55,7:13,67,55,1.06,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,57.2,No,00:01:02.0,5,84.2,00:36:24,01:07:16,63,101
Running,2024-04-22 19:55:15,FALSE,Berlin Running,4.01,475,00:33:33,152,169,3.4,171,189,8:23,7:07,14,12,1.12,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,57.2,No,00:00:02.2,5,86.0,00:33:20,00:34:49,115,132
Running,2024-04-21 17:20:09,FALSE,Berlin Running,7.27,848,00:58:35,155,168,4.1,174,184,8:04,6:46,33,51,1.15,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,57.2,No,00:02:08.5,8,82.4,00:58:25,00:59:35,96,141
Running,2024-04-20 11:57:43,FALSE,Berlin Running,4.50,545,00:37:04,148,174,3.7,172,188,8:14,6:22,76,93,1.13,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,55.4,No,00:03:54.9,5,82.4,00:36:58,00:39:03,96,141
Running,2024-04-18 16:30:27,FALSE,Berlin Running,3.12,366,00:25:46,154,169,3.2,171,186,8:16,7:29,7,4,1.14,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,66.2,No,00:00:59.6,4,82.4,00:25:36,00:26:53,68,75
Running,2024-04-11 18:32:21,FALSE,McHenry County Running,5.18,613,00:43:04,151,164,3.5,172,181,8:19,7:47,56,56,1.13,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,64.4,No,00:01:29.5,6,86.0,00:42:56,00:43:32,886,913
Running,2024-04-09 18:15:24,FALSE,McHenry County Running,5.14,623,00:44:11,153,163,3.5,170,183,8:36,7:16,65,65,1.10,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,69.8,No,00:01:14.5,6,87.8,00:43:53,00:45:54,879,917
